Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Cropland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
