Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
