Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
75,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
76,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
77,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
