Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
