Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
