Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
