Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KHV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KHV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KHV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KHV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KHV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KHV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
