Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
