Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
