Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
