Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
