Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
