Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
