Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
