datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",140
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",119
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",117
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",114
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",108
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",97
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",83
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",73
"AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",70
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",68
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",66
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",60
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",49
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",46
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",41
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",38
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",35
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",32
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",31
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",27
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",25
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",25
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",24
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",19
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",18
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",16
"AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",15
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",12
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",11
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",11
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",11
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",10
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",10
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",9
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",9
"AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",8
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",8
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",7
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",7
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",5
"AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",3
"AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",3
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",3
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",3
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",3
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",2
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",2
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",2
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",2
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",2
"AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",1
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",1
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",1
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R",1
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R",1
