Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
