Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
