Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
13,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
