Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
