Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
