Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
26,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
42,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
43,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
44,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
45,NULL,NULL,Water,Water,Water,NULL,NULL,Water
46,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
