Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
