Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
