Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R
1097,Forest,Forest,Water,NULL,Water,Forest,Water,Water
1098,Forest,Forest,Water,NULL,Water,Forest,Water,Forest
1099,Forest,Forest,Water,NULL,Water,Forest,Forest,Forest
1100,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Water
1101,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Forest
1102,Forest,Forest,Water,Non_Water,Water,NULL,Water,Forest
1103,Forest,Forest,Water,Non_Water,Water,Grassland,Wetland,Forest
1104,Forest,Forest,Water,Non_Water,Water,Grassland,Water,Forest
1105,Forest,Forest,Water,Non_Water,Water,Bareland,Wetland,Forest
1106,Forest,Forest,Water,Non_Water,Water,Water,Wetland,Water
1107,Forest,Forest,Water,Non_Water,Water,Water,Wetland,Forest
1108,Forest,Forest,Water,Non_Water,Water,Water,Water,Forest
1109,Forest,Forest,Water,Non_Water,Water,Water,Forest,Forest
1110,Forest,Forest,Water,Non_Water,Water,Forest,Wetland,Forest
1111,Forest,Forest,Water,Non_Water,Water,Forest,Water,Forest
1112,Forest,Forest,Water,Water,Water,NULL,Wetland,Water
1113,Forest,Forest,Water,Water,Water,NULL,Wetland,Forest
1114,Forest,Forest,Water,Water,Water,NULL,Water,Water
1115,Forest,Forest,Water,Water,Water,NULL,Water,Forest
1116,Forest,Forest,Water,Water,Water,NULL,Forest,Grassland
1117,Forest,Forest,Water,Water,Water,NULL,Forest,Forest
1118,Forest,Forest,Water,Water,Water,Grassland,Wetland,Water
1119,Forest,Forest,Water,Water,Water,Grassland,Wetland,Forest
1120,Forest,Forest,Water,Water,Water,Grassland,Water,Grassland
1121,Forest,Forest,Water,Water,Water,Grassland,Water,Water
1122,Forest,Forest,Water,Water,Water,Grassland,Water,Forest
1123,Forest,Forest,Water,Water,Water,Wetland,Wetland,Forest
1124,Forest,Forest,Water,Water,Water,Water,Wetland,Water
1125,Forest,Forest,Water,Water,Water,Water,Wetland,Forest
1126,Forest,Forest,Water,Water,Water,Water,Water,Grassland
1127,Forest,Forest,Water,Water,Water,Water,Water,Water
1128,Forest,Forest,Water,Water,Water,Water,Water,Forest
1129,Forest,Forest,Water,Water,Water,Water,Forest,Water
1130,Forest,Forest,Water,Water,Water,Water,Forest,Forest
1131,Forest,Forest,Water,Water,Water,Forest,Wetland,Water
1132,Forest,Forest,Water,Water,Water,Forest,Wetland,Forest
1133,Forest,Forest,Water,Water,Water,Forest,Water,Water
1134,Forest,Forest,Water,Water,Water,Forest,Water,Forest
1135,Forest,Forest,Water,Water,Water,Forest,Forest,Forest
1136,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1137,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1138,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1139,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1140,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1141,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
1142,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1143,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Water
1144,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
1145,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1146,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
1147,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1148,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1149,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1150,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1151,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1152,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1153,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1154,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1155,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1156,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1157,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1158,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1159,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1160,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
1161,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1162,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Water
1163,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1164,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1165,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1166,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1167,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1168,Forest,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1169,Forest,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1170,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,NULL
1171,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1172,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
1173,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1174,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
1175,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
1176,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1177,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Water
1178,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1179,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1180,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1181,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1182,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Water
1183,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1184,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1185,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
1186,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1187,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Water
1188,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1189,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
1190,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
1191,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1192,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1193,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Water
1194,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
1195,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1196,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
1197,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1198,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1199,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1200,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Water
1201,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1202,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Water
1203,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
1204,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1205,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
1206,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1207,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Water
1208,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1209,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Water
1210,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Forest
1211,Forest,Forest,Forest,Water,Non_Wetland,NULL,Forest,Water
1212,Forest,Forest,Forest,Water,Non_Wetland,NULL,Forest,Forest
1213,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1214,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Water,Forest
1215,Forest,Forest,Forest,Water,Non_Wetland,Bareland,Wetland,Forest
1216,Forest,Forest,Forest,Water,Non_Wetland,Bareland,Water,Bareland
1217,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Water
1218,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
1219,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Water
1220,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Forest
1221,Forest,Forest,Forest,Water,Non_Wetland,Water,Forest,Water
1222,Forest,Forest,Forest,Water,Non_Wetland,Water,Forest,Forest
1223,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Water
1224,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1225,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Water
1226,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Forest
1227,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Water
1228,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
