Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
