Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Water
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
