Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
