Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
