Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KET_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KET_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
17,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
20,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
22,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
23,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
24,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
25,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
