Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,Water
9,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Grassland,Water,Non_Wetland,Water
15,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
19,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
21,NULL,NULL,Cropland,Water,Non_Wetland,Water
22,NULL,NULL,Cropland,Water,Non_Wetland,Forest
23,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
24,NULL,NULL,Wetland,Non_Water,Wetland,Water
25,NULL,NULL,Wetland,Water,Wetland,Bareland
26,NULL,NULL,Wetland,Water,Wetland,Water
