Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
