Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LWP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
