Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
