Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
