Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
28,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
