datasets,count
"AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R",5
"AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R",4
"AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R",3
"AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R",3
"AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R",3
"AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R",3
"AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R",2
"AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R",2
"AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R",2
"AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R",1
