datasets,count
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",33
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",33
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",24
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",23
"AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",9
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R",8
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R",8
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",7
"AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",6
"AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",5
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",5
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",5
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",4
"AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",4
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",3
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",3
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R",2
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",2
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",2
"AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",1
"AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",1
"AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",1
"AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R",1
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R",1
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,AFRICA_2024_WorldCover_2021_36NVM_M_R",1
"AFRICA_2024_DynamicWorld_2024_36NVM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R",1
