datasets,count
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",229
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",111
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",74
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",63
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",50
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",44
"AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",30
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",30
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R",28
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",25
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",24
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",21
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R",20
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R",17
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",10
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",8
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",8
"AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",7
"AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",7
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",4
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R",3
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",3
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R",3
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R",2
"AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R",2
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",1
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R",1
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",1
"AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R",1
