Value,AFRICA_2024_DynamicWorld_2024_35NPJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NPJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPJ_M_R,AFRICA_2024_WorldCover_2021_35NPJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,NULL,Water,Non_Wetland,Cropland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
34,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
55,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
56,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
58,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
63,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL
68,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
70,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
71,NULL,NULL,Cropland,Water,Non_Wetland,Water
72,NULL,NULL,Wetland,NULL,Wetland,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,Cropland
75,NULL,NULL,Wetland,NULL,Wetland,Wetland
76,NULL,NULL,Wetland,NULL,Wetland,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL
78,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
79,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
80,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
81,NULL,NULL,Wetland,Non_Water,Wetland,Forest
82,NULL,NULL,Wetland,Water,Wetland,NULL
83,NULL,NULL,Wetland,Water,Wetland,Grassland
84,NULL,NULL,Wetland,Water,Wetland,Wetland
85,NULL,NULL,Wetland,Water,Wetland,Built-up
86,NULL,NULL,Wetland,Water,Wetland,Forest
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
96,NULL,NULL,Bareland,Water,Non_Wetland,NULL
97,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
99,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
103,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
116,NULL,NULL,Built-up,Water,Non_Wetland,NULL
117,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
118,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
119,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
120,NULL,NULL,Water,NULL,Water,Grassland
