Value,SIBERIA_2024_ESA_CALU_2024_44WME_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WME_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WME_M_R,SIBERIA_2024_GSW_Yearly_2021_44WME_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WME_M_R,SIBERIA_2024_WorldCover_2021_44WME_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
7,NULL,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,NULL,Wetland
47,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
48,NULL,NULL,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,NULL,NULL,Water
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,NULL,Wetland,NULL,Wetland,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,Water
55,NULL,NULL,Wetland,NULL,Wetland,Forest
56,NULL,NULL,Wetland,Non_Water,NULL,Wetland
57,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
58,NULL,NULL,Wetland,Non_Water,NULL,Bareland
59,NULL,NULL,Wetland,Non_Water,NULL,Water
60,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,NULL,Wetland,Water,NULL,Wetland
67,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
68,NULL,NULL,Wetland,Water,NULL,Bareland
69,NULL,NULL,Wetland,Water,NULL,Water
70,NULL,NULL,Wetland,Water,Wetland,Grassland
71,NULL,NULL,Wetland,Water,Wetland,Wetland
72,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
73,NULL,NULL,Wetland,Water,Wetland,Bareland
74,NULL,NULL,Wetland,Water,Wetland,Water
75,NULL,NULL,Wetland,Water,Wetland,Forest
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
91,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
92,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
93,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Water
98,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
105,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
106,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
107,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
