Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,SIBERIA_2024_WorldCover_2021_44WNB_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Water
40,NULL,Grassland,NULL,Non_Wetland,Forest
41,NULL,Grassland,Non_Water,Non_Wetland,Grassland
42,NULL,Grassland,Non_Water,Non_Wetland,Wetland
43,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,Non_Water,Non_Wetland,Bareland
45,NULL,Grassland,Non_Water,Non_Wetland,Water
46,NULL,Grassland,Non_Water,Non_Wetland,Forest
47,NULL,Grassland,Water,Non_Wetland,Grassland
48,NULL,Grassland,Water,Non_Wetland,Wetland
49,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,Water,Non_Wetland,Bareland
51,NULL,Grassland,Water,Non_Wetland,Water
52,NULL,Grassland,Water,Non_Wetland,Forest
53,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
56,NULL,Wetland,NULL,Wetland,Bareland
57,NULL,Wetland,NULL,Wetland,Water
58,NULL,Wetland,NULL,Wetland,Forest
59,NULL,Wetland,Non_Water,Wetland,Grassland
60,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
62,NULL,Wetland,Non_Water,Wetland,Bareland
63,NULL,Wetland,Non_Water,Wetland,Water
64,NULL,Wetland,Non_Water,Wetland,Forest
65,NULL,Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Water,Wetland,Wetland
67,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Water,Wetland,Bareland
69,NULL,Wetland,Water,Wetland,Water
70,NULL,Wetland,Water,Wetland,Forest
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
88,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Water
93,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Non_Water,Non_Wetland,Water
99,NULL,Bareland,Non_Water,Non_Wetland,Forest
100,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,Built-up,NULL,Non_Wetland,Bareland
110,NULL,Built-up,NULL,Non_Wetland,Built-up
111,NULL,Built-up,NULL,Non_Wetland,Water
112,NULL,Built-up,NULL,Non_Wetland,Forest
113,NULL,Built-up,Non_Water,Non_Wetland,Grassland
114,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,Non_Water,Non_Wetland,Bareland
117,NULL,Built-up,Non_Water,Non_Wetland,Water
118,NULL,Built-up,Non_Water,Non_Wetland,Forest
119,NULL,Built-up,Water,Non_Wetland,Grassland
120,NULL,Built-up,Water,Non_Wetland,Wetland
121,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Built-up,Water,Non_Wetland,Bareland
123,NULL,Built-up,Water,Non_Wetland,Water
124,NULL,Built-up,Water,Non_Wetland,Forest
125,NULL,Water,NULL,Water,Grassland
126,NULL,Water,NULL,Water,Wetland
127,NULL,Water,NULL,Water,Lichens_and_Mosses
128,NULL,Water,NULL,Water,Bareland
129,NULL,Water,NULL,Water,Water
130,NULL,Water,NULL,Water,Forest
131,NULL,Water,Non_Water,Water,Grassland
132,NULL,Water,Non_Water,Water,Wetland
133,NULL,Water,Non_Water,Water,Lichens_and_Mosses
134,NULL,Water,Non_Water,Water,Bareland
135,NULL,Water,Non_Water,Water,Water
136,NULL,Water,Non_Water,Water,Forest
137,NULL,Water,Water,Water,Grassland
138,NULL,Water,Water,Water,Wetland
139,NULL,Water,Water,Water,Lichens_and_Mosses
140,NULL,Water,Water,Water,Bareland
141,NULL,Water,Water,Water,Water
142,NULL,Water,Water,Water,Forest
143,NULL,Forest,NULL,Non_Wetland,Grassland
144,NULL,Forest,NULL,Non_Wetland,Wetland
145,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
146,NULL,Forest,NULL,Non_Wetland,Bareland
147,NULL,Forest,NULL,Non_Wetland,Water
148,NULL,Forest,NULL,Non_Wetland,Forest
149,NULL,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,Forest,Non_Water,Non_Wetland,Wetland
151,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,Non_Water,Non_Wetland,Bareland
153,NULL,Forest,Non_Water,Non_Wetland,Water
154,NULL,Forest,Non_Water,Non_Wetland,Forest
155,NULL,Forest,Water,Non_Wetland,Grassland
156,NULL,Forest,Water,Non_Wetland,Wetland
157,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Forest,Water,Non_Wetland,Bareland
159,NULL,Forest,Water,Non_Wetland,Water
160,NULL,Forest,Water,Non_Wetland,Forest
161,Wetland,NULL,NULL,Non_Wetland,Grassland
162,Wetland,NULL,NULL,Non_Wetland,Wetland
163,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
164,Wetland,NULL,NULL,Non_Wetland,Bareland
165,Wetland,NULL,NULL,Non_Wetland,Water
166,Wetland,NULL,NULL,Non_Wetland,Forest
167,Wetland,NULL,Non_Water,Non_Wetland,Grassland
168,Wetland,NULL,Non_Water,Non_Wetland,Wetland
169,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
