Value,SIBERIA_2024_ESA_CALU_2024_42WWB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWB_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWB_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWB_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWB_M_R,SIBERIA_2024_WorldCover_2021_42WWB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
45,NULL,NULL,Wetland,NULL,Wetland,Bareland
46,NULL,NULL,Wetland,NULL,Wetland,Water
47,NULL,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
50,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
52,NULL,NULL,Wetland,Non_Water,Wetland,Water
53,NULL,NULL,Wetland,Non_Water,Wetland,Forest
54,NULL,NULL,Wetland,Water,Wetland,Grassland
55,NULL,NULL,Wetland,Water,Wetland,Wetland
56,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
57,NULL,NULL,Wetland,Water,Wetland,Bareland
58,NULL,NULL,Wetland,Water,Wetland,Water
59,NULL,NULL,Wetland,Water,Wetland,Forest
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
73,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
74,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
79,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
94,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
95,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
97,NULL,NULL,Bareland,Water,Non_Wetland,Water
98,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
101,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
103,NULL,NULL,Built-up,NULL,Non_Wetland,Water
104,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
