Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Grassland,0,3,3,3,2,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Wetland,4,0,6,6,5,3,3,3,0,0,0
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Lichens_and_Mosses,3,3,0,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Bareland,3,3,3,0,2,3,1,1,0,0,0
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Built-up,3,3,3,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Water,3,6,6,6,0,2,0,2,0,0,0
SIBERIA_2024_WorldCover_2021_43WDT_M_R,Forest,3,3,3,3,2,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDT_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDT_M_R,Grassland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDT_M_R,Bareland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDT_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDT_M_R,Forest,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Shrubland,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Grassland,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Wetland,0,0,0,0,11,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Lichens_and_Mosses,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Bareland,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Built-up,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Water,0,0,0,0,0,0,0,0,0,10,0
SIBERIA_2024_GSW_Yearly_2021_43WDT_M_R,Forest,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_43WDT_M_R,Water,1,1,1,1,0,1,1,0,0,0,1
