Value,SIBERIA_2024_ESA_CALU_2024_42WWA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWA_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWA_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWA_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWA_M_R,SIBERIA_2024_WorldCover_2021_42WWA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Shrubland,Water,Non_Wetland,Water
28,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
44,NULL,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
49,NULL,NULL,Wetland,NULL,Wetland,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,Water
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
55,NULL,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,NULL,Wetland,Water,Wetland,Grassland
58,NULL,NULL,Wetland,Water,Wetland,Wetland
59,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
60,NULL,NULL,Wetland,Water,Wetland,Bareland
61,NULL,NULL,Wetland,Water,Wetland,Water
62,NULL,NULL,Wetland,Water,Wetland,Forest
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
81,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
86,NULL,NULL,Bareland,NULL,Non_Wetland,Water
87,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
96,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Water
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
