Value,SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,SIBERIA_2024_WorldCover_2021_41WPU_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
2,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
3,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
4,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
5,NULL,NULL,Grassland,Water,Non_Wetland,NULL
6,NULL,NULL,Wetland,NULL,NULL,NULL
7,NULL,NULL,Wetland,NULL,Wetland,NULL
8,NULL,NULL,Wetland,Non_Water,Wetland,NULL
9,NULL,NULL,Wetland,Water,NULL,NULL
10,NULL,NULL,Wetland,Water,Wetland,NULL
11,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
12,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
14,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
15,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Bareland,Water,Non_Wetland,NULL
17,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
18,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Built-up,Water,Non_Wetland,NULL
20,NULL,NULL,Water,NULL,NULL,NULL
21,NULL,NULL,Water,NULL,Water,NULL
22,NULL,NULL,Water,Non_Water,Water,NULL
23,NULL,NULL,Water,Water,NULL,NULL
24,NULL,NULL,Water,Water,Water,NULL
25,NULL,NULL,Forest,NULL,Non_Wetland,NULL
26,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Forest,Water,Non_Wetland,NULL
28,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
29,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
30,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
31,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
32,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
33,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
34,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
35,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
36,NULL,Wetland,Grassland,Water,Non_Wetland,NULL
37,NULL,Wetland,Wetland,NULL,NULL,NULL
38,NULL,Wetland,Wetland,NULL,Wetland,NULL
39,NULL,Wetland,Wetland,Non_Water,NULL,NULL
40,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
41,NULL,Wetland,Wetland,Water,NULL,NULL
42,NULL,Wetland,Wetland,Water,Wetland,NULL
43,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
44,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
45,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
46,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
47,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL
48,NULL,Wetland,Bareland,Water,Non_Wetland,NULL
49,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
50,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL
51,NULL,Wetland,Built-up,Water,Non_Wetland,NULL
52,NULL,Wetland,Water,NULL,NULL,NULL
53,NULL,Wetland,Water,NULL,Water,NULL
54,NULL,Wetland,Water,Non_Water,Water,NULL
55,NULL,Wetland,Water,Water,NULL,NULL
56,NULL,Wetland,Water,Water,Water,NULL
57,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
58,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
59,NULL,Wetland,Forest,Water,Non_Wetland,NULL
60,NULL,Bareland,Wetland,NULL,NULL,NULL
61,NULL,Bareland,Wetland,NULL,Wetland,NULL
62,NULL,Bareland,Wetland,Non_Water,NULL,NULL
63,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
64,NULL,Bareland,Wetland,Water,NULL,NULL
65,NULL,Bareland,Wetland,Water,Wetland,NULL
66,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
67,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
68,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
69,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
70,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
71,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
72,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
73,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL
74,NULL,Bareland,Water,NULL,NULL,NULL
75,NULL,Bareland,Water,NULL,Water,NULL
76,NULL,Bareland,Water,Non_Water,NULL,NULL
77,NULL,Bareland,Water,Non_Water,Water,NULL
78,NULL,Bareland,Water,Water,NULL,NULL
79,NULL,Bareland,Water,Water,Water,NULL
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
81,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
82,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
83,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
84,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
85,NULL,Built-up,Wetland,NULL,Wetland,NULL
86,NULL,Built-up,Wetland,Non_Water,Wetland,NULL
87,NULL,Built-up,Wetland,Water,Wetland,NULL
88,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
89,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
90,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL
91,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
92,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
93,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
94,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
95,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
96,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
97,NULL,Built-up,Water,Water,Water,NULL
98,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
100,NULL,Water,Shrubland,Water,Non_Wetland,NULL
101,NULL,Water,Grassland,NULL,Non_Wetland,NULL
102,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
103,NULL,Water,Grassland,Water,Non_Wetland,NULL
104,NULL,Water,Wetland,NULL,NULL,NULL
105,NULL,Water,Wetland,NULL,Wetland,NULL
106,NULL,Water,Wetland,Non_Water,NULL,NULL
