Value,SIBERIA_2024_ESA_CALU_2024_43WFQ_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,SIBERIA_2024_WorldCover_2021_43WFQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Water
8,NULL,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Wetland
47,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
48,NULL,NULL,Wetland,NULL,Wetland,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,NULL,Wetland
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
55,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
56,NULL,NULL,Wetland,Non_Water,Wetland,Water
57,NULL,NULL,Wetland,Non_Water,Wetland,Forest
58,NULL,NULL,Wetland,Water,NULL,Wetland
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Wetland
61,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
62,NULL,NULL,Wetland,Water,Wetland,Bareland
63,NULL,NULL,Wetland,Water,Wetland,Water
64,NULL,NULL,Wetland,Water,Wetland,Forest
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
81,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
86,NULL,NULL,Bareland,NULL,Non_Wetland,Water
87,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
96,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
105,NULL,NULL,Built-up,NULL,Non_Wetland,Water
106,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
